card,cardType,level,DE,EN,UK,RU
2-4,question,2,"Pragmatischer Lösungsansatz: Wir schwenken um auf Tacos. Auch lecker! Und heute sogar im Halloween-Super-Sonderangebot, den zehnten Taco gibt's gratis! Schnellen Schrittes und fressbereit erreichen wir den Taco-Wagen, merken aber sofort, dass hier etwas nicht stimmt.
Frage: Wieso haben die Räuber leichtes Spiel?","Pragmatic solution: We switch to tacos. Also delicious! And today there is even a Halloween super special offer – the tenth taco is free! Walking quickly and ready to eat, we reach the taco cart, but immediately notice that something is wrong here.
Question: Why do the robbers have such an easy time?","Прагматичний підхід: перемикаємося на тако. Теж смачно! І сьогодні навіть діє супер-пупер хелловінська пропозиція — кожен десятий тако безкоштовно! Швидким кроком, готові набити шлунки, ми добираємося до фургона з тако, але миттєво розуміємо, що тут щось не так.
Запитання: Чому грабіжникам так легко діяти?","Прагматичный подход: переключаемся на тако. Тоже вкусно! И сегодня даже действует супер-пупер хэллоуинская скидка — каждый десятый тако бесплатно! Быстрым шагом, готовые набить желудки, мы добираемся до фургона с тако, но мгновенно понимаем, что здесь что-то не так.
Вопрос: Почему грабителям так легко действовать?"
2-5,answer,,"Der Vorfall ereignet sich bei „Joe's Tacos“. Der gute Joe ist gerade abgelenkt: Er will eine attraktive Frau mit seinen Gewichtheber-Künsten beeindrucken. So können die Räuber in Ruhe die Kasse plündern. Aber nicht mit uns! Gekonnt lassen wir die Handschellen klicken. Die Dichte an Kriminellen auf dem Spooky Festival ist überraschend hoch. Tick, jüngster Sohn der vermissten Deborah Szabó, taucht jubelnd hinter uns auf. Er steckt immer noch in seinem pinken Hasenkostüm und scheint schwer beeindruckt davon, mit welcher Lässigkeit wir den Gaunern soeben das Handwerk gelegt haben.","The incident takes place at 'Joe's Tacos'. Good old Joe is currently distracted: he wants to impress an attractive woman with his weightlifting skills. This allows the robbers to empty the cash register in peace. But not on our watch! We expertly click the handcuffs shut. The density of criminals at the Spooky Festival is surprisingly high. Tick, the youngest son of the missing Deborah Szabó, appears behind us cheering. He is still in his pink bunny costume and seems highly impressed by the coolness with which we just put the crooks out of business.","Інцидент стався біля «Joe's Tacos». Добряк Джо саме відволікся: він намагається вразити привабливу жінку своїми вміннями важкоатлета. Тож грабіжники можуть спокійно грабувати касу. Але не тут-то було! Ми вправно замикаємо на них кайданки. Концентрація злочинців на Spooky Festival вражає. Тік, молодший син зниклої Дебори Сабо, з'являється позаду нас із радісними вигуками. Він усе ще в рожевому костюмі зайця і виглядає дуже враженим тим, як невимушено ми щойно знешкодили шахраїв.","Инцидент произошел у «Joe's Tacos». Добряк Джо как раз отвлекся: он пытается впечатлить привлекательную женщину своими умениями тяжелоатлета. Так что грабители могут спокойно чистить кассу. Но не тут-то было! Мы ловко защелкиваем на них наручники. Концентрация преступников на Spooky Festival поражает. Тик, младший сын пропавшей Деборы Сабо, появляется позади нас с радостными криками. Он все еще в розовом костюме зайца и выглядит крайне впечатленным тем, как непринужденно мы только что обезвредили жуликов."
2-6,question,2,"„Mit den Immobilien-Haien solltet ihr dasselbe tun!“, meint Tick. „Opa, Mama und Tante Betty streiten ständig darüber. Irgendwelche Investoren, die uns unbedingt das Gelände abknöpfen wollen, um hier eine hässliche Mega-Mall zu errichten. Opa sagt immer, wir sollten die Typen einfach mit unserem Bären Tammi zum Fraß vorwerfen. Apropos Tammi ..., verflucht!“ Dass die Haltung der Tiere in ihren Wagen nicht mehr zeit- bzw. artgerecht ist, ist uns auch schon aufgefallen. Aber nun ist hier im wahrsten Sinne des Wortes der Bär los.
Frage: Durch wen oder was konnte Tammi aus seinem Käfigwagen entkommen – und wo steckt er jetzt?","'You should do the same with the real estate sharks!' says Tick. 'Grandpa, Mom, and Aunt Betty are constantly arguing about them. Some investors who absolutely want to snatch our land to build an ugly mega-mall here. Grandpa always says we should just feed those guys to our bear, Tammi. Speaking of Tammi... damn!' We had already noticed that keeping the animals in their wagons is no longer timely or species-appropriate. But now, the bear is literally loose.
Question: Through whom or what was Tammi able to escape from his cage wagon – and where is he now?","«Із цими акулами нерухомості треба вчинити так само!», — заявляє Тік. — «Дідусь, мама і тітка Бетті постійно через них сваряться. Якісь інвестори хочуть будь-що відібрати у нас землю, щоб побудувати тут потворний мега-молл. Дідусь завжди каже, що треба просто згодувати цих типів нашому ведмедю Таммі. До речі, про Таммі... от дідько!» Те, що утримання тварин у вагончиках уже давно не відповідає сучасним та гуманним нормам, ми й самі помітили. Але тепер тут у прямому сенсі вирвався ведмідь на волю.
Запитання: Через кого чи що Таммі зміг втекти зі свого вагона-клітки — і де він зараз перебуває?","«С этими акулами недвижимости надо поступить так же!», — заявляет Тик. — «Дедушка, мама и тетя Бетти постоянно из-за них ругаются. Какие-то инвесторы хотят во что бы то ни стало отобрать у нас землю, чтобы построить здесь уродливый мега-молл. Дедушка всегда говорит, что надо просто скормить этих типов нашему медведю Тамми. Кстати, о Тамми... черт побери!» То, что содержание животных в вагончиках уже давно не отвечает современным и гуманным нормам, мы и сами заметили. Но теперь здесь в прямом смысле вырвался медведь на волю.
Вопрос: Из-за кого или чего Тамми смог сбежать из своего вагона-клетки — и где он сейчас находится?"
2-7,answer,,"Drei Personen mit roten Jacken, vermutlich selbsternannte Tierschützer, haben in mühevoller Fleißarbeit die Gitterstäbe des Wagens zersägt. Tammi ist entflohen und steht im Südosten mitten auf der Straße. Tick wiegelt ab: „Keine Sorge. Tammi tut nichts, der ist ein gaaanz Lieber! Wartet, ich hole ihn zurück.“ Doch als Tick die Stelle erreicht, ist der Bär längst auf und davon. Wir lassen erneut die Handschellen klicken – dieses Mal bei den Tierschützern. Ihre Motive in allen Ehren, aber ihr Verhalten war mehr als nur grob fahrlässig. Unsere Person Norden bekommt ein Foto aufs Handy geschickt.","Three people in red jackets, presumably self-proclaimed animal rights activists, painstakingly sawed through the cage bars. Tammi escaped and is standing in the middle of the street in the southeast. Tick waves it off: 'Don't worry. Tammi doesn't bite, he's a real sweetheart! Wait, I'll get him back.' But by the time Tick reaches the spot, the bear is long gone. We click the handcuffs shut again – this time on the animal rights activists. With all due respect to their motives, their behavior was more than just grossly negligent. Our Player North gets a photo sent to their phone.","Троє людей у червоних куртках, імовірно самопроголошені зоозахисники, старанно та наполегливо перепиляли металеві грати вагона. Таммі втік і стоїть на вулиці в південно-східній частині. Тік заспокоює: «Не хвилюйтеся. Таммі нікого не скривдить, він дуже милий! Почекайте, я його поверну». Проте коли Тік добігає до місця, ведмедя вже й слід простиг. Ми знову дістаємо кайданки — цього разу для зоозахисників. Їхні благородні мотиви — це добре, але така поведінка є вкрай недбалою. Наш гравець Північ отримує фотографію на телефон.","Три человека в красных куртках, предположительно самопровозглашенные зоозащитники, усердно и упорно перепилили металлические прутья вагона. Тамми сбежал и стоит на улице в юго-восточной части. Тик успокаивает: «Не волнуйтесь. Тамми никого не обидит, он очень милый! Подождите, я его верну». Однако когда Тик добегает до места, медведя уже и след простыл. Мы снова достаем наручники — на этот раз для зоозащитников. Их благородные мотивы — это хорошо, но такое поведение крайне халатно. Наш игрок Север получает фотографию на телефон."
2-8,image,,[Sonderkarte 28 mit Bärenspuren und dem Käfigwagen],[Special card 28 showing bear tracks and the cage wagon],[Спеціальна карта 28 із слідами ведмедя та вагоном-кліткою],[Специальная карта 28 со следами медведя и вагоном-клеткой]
2-9,question,1,"Instagrammable Spooky Pic!
Frage: Wo und von wem wurde das Foto gemacht?","Instagrammable Spooky Pic!
Question: Where and by whom was the photo taken?","Знімок для соцмереж!
Запитання: Де і ким було зроблено це фото?","Снимок для соцсетей!
Вопрос: Где и кем было сделано это фото?"
2-10,answer,,"Aufgenommen wurde das Foto vom Dach des Hauses, an dessen Fassade eine überdimensionale E-Gitarre prangt. Und geknipst hat es eine als Hot Dog kostümierte Person, die dort oben an der Brüstung hängt. In dem Kostüm steckt James – Tarnname „Hot Dog Man 2“ – ein junger, überambitionierter Draufgänger unserer geheimen „Hot Dog Spezialeinheit“. Die Idee, die Spezialeinheit in diese überaus würdevollen Kostüme zu stecken, haben wir übrigens Hauptkommissar Jenkins zu verdanken. Bester Mann!","The photo was taken from the roof of the building on whose facade a giant electric guitar is mounted. And it was snapped by a person in a hot dog costume who is hanging on the railing up there. Inside the costume is James – code name 'Hot Dog Man 2' – a young, overly ambitious daredevil of our secret 'Hot Dog Special Unit'. By the way, we have Chief Inspector Jenkins to thank for the idea of putting our special unit in these highly dignified costumes. Best man!","Фото зроблено з даху будівлі, на фасаді якої красується величезна електрогітара. А зняла його людина в костюмі хот-дога, яка висить там на поруччях. У костюмі ховається Джеймс — позивний «Хот-дог Мен 2» — молодий, надто амбітний сміливець із нашого таємного спецпідрозділу «Хот-дог». До речі, ідеєю вдягнути спецпідрозділ у ці надзвичайно солідні костюми ми завдячуємо головному комісару Дженкінсу. Найкраща людина!","Фото сделано с крыши здания, на фасаде которого красуется огромная электрогитара. А снял его человек в костюме хот-дога, висящий там на перилах. В костюме скрывается Джеймс — позывной «Хот-дог Мен 2» — молодой, чересчур амбициозный сорвиголова из нашего тайного спецподразделения «Хот-дог». Кстати, идеей облачить спецподразделение в эти чрезвычайно солидные костюмы мы обязаны главному комиссару Дженкинсу. Золотой человек!"
2-11,question,2,"Zusammen mit dem Foto liefert uns James alias „Hot Dog Man 2“ noch eine Sprachnachricht:
„Die Gruppe auf dem Dach kam mir verdächtig vor. Ich habe mich rangeschlichen und sie belauscht! Es handelt sich um Investoren der City Life Group. Scheinbar haben sie es auf das Gelände des Spooky Festivals abgesehen! O-Ton: »Das Geschäft ist schon so gut wie in trockenen Tüchern.« Dann haben sie die Sektkorken knallen lassen.“ Scheinbar bewirbt die City Life Group ihre Pläne bereits flächendeckend.
Frage: Wer von uns sieht die meisten City Life Plakate auf dem eigenen Faltplan – und welches sticht besonders hervor?","Along with the photo, James, alias 'Hot Dog Man 2', provides us with a voice message:
'The group on the roof seemed suspicious to me. I crept closer and eavesdropped on them! They are investors from the City Life Group. Apparently, they have their eyes on the Spooky Festival grounds! Direct quote: »The deal is as good as done.« Then they popped the champagne corks.' It seems the City Life Group is already advertising its plans on a large scale.
Question: Which of us sees the most City Life posters on their own folding map – and which one stands out in particular?","Разом із фото Джеймс, він же «Хот-дог Мен 2», надсилає нам голосове повідомлення:
«Група на даху здалася мені підозрілою. Я підібрався ближче і підслухав їх! Це інвестори з City Life Group. Схоже, вони націлилися на територію Spooky Festival! Пряма цитата: »Угода вже практично в кишені.« Після цього вони почали стріляти пробками від шампанського». Схоже, City Life Group уже щосили рекламує свої плани.
Запитання: Хто з нас бачить найбільше плакатів City Life на своїй складеній карті — і який із них особливо виділяється?","Вместе с фото Джеймс, он же «Хот-дог Мен 2», присылает нам голосовое сообщение:
«Группа на крыше показалась мне подозрительной. Я подобрался поближе и подслушал их! Это инвесторы из City Life Group. Похоже, они нацелились на территорию Spooky Festival! Прямая цитата: »Сделка уже практически в шляпе.« После этого они начали стрелять пробками от шампанского». Похоже, City Life Group уже вовсю рекламирует свои планы.
Вопрос: Кто из нас видит больше всего плакатов City Life на своей сложенной карте — и какой из них особенно выделяется?"
2-12,answer,,"Person Westen sieht vier Plakate, Süden drei, Norden und Osten je zwei. Das Plakat auf den Felsen hinter dem Riesenrad sticht durch die dystopische Schmiererei „The end is near“ hervor. Opa Walt Szabó sitzt wie gehabt in seinem Rollstuhl auf dem Dach der Geisterbahn. Als wir ihn auf die Investorengruppe ansprechen, wird er rot vor Zorn und schreit uns an: „Diese Gauner! Verpissen sollen die sich! Niemals werde ich unser Gelände verkaufen – egal wie mies die Geschäfte laufen. Ja, die Geschäftsführung hab ich mittlerweile an Deborah übertragen, aber der rechtmäßige Besitzer bin immer noch ich! Und solange ich lebe, wird nicht verkauft, verstanden?!“","Player West sees four posters, South three, North and East two each. The poster on the rocks behind the Ferris wheel stands out due to the dystopian graffiti 'The end is near'. Grandpa Walt Szabó sits in his wheelchair on the roof of the haunted house as usual. When we ask him about the investor group, he turns red with anger and yells at us: 'Those crooks! They can piss off! I will never sell our land – no matter how poorly business runs. Yes, I have transferred the management to Deborah in the meantime, but the rightful owner is still me! And as long as I live, there will be no sale, understood?!'","Гравець Захід бачить чотири плакати, Південь — три, Північ і Схід — по два. Плакат на скелях за колесом огляду виділяється дивним дистопічним графіті «The end is near» (Кінець близький). Дідусь Уолт Сабо, як завжди, сидить у своєму інвалідному візку на даху кімнати страху. Коли ми запитуємо його про групу інвесторів, він червоніє від гніву і кричить на нас: «Ці шахраї! Нехай забираються під три чорти! Я ніколи не продам нашу землю — як би погано не йшли справи. Так, я передав керівництво Деборі, але законним власником усе одно залишаюся я! І поки я живий, нічого не буде продано, зрозуміло?!»","Игрок Запад видит четыре плаката, Юг — три, Север и Восток — по два. Плакат на скалах за колесом обозрения выделяется странным антиутопическим граффити «The end is near» (Конец близок). Дедушка Уолт Сабо, как всегда, сидит в своей сломанной инвалидной коляске на крыше комнаты страха. Когда мы спрашиваем его о группе инвесторов, он краснеет от гнева и кричит на нас: «Эти мошенники! Пусть убираются ко всем чертям! Я никогда не продам нашу землю — как бы паршиво ни шли дела. Да, я передал руководство Деборе, но законным владельцем всё равно остаюсь я! И пока я жив, ничего продано не будет, ясно?!»"
2-13,question,1,"Verstanden. Vielleicht zeigt sich Betty kooperativer. Wir gehen hinüber zu ihrem Wagen, schieben uns an der Warteschlange vorbei und zitieren die Hellseherin höflich, aber bestimmt heraus. „Polizei?! Was gibt’s denn? Ach ja, die Sache mit den Investoren ... Deborah und Walt haben regelmäßig darüber gestritten. Das Angebot der City Life Group ist sehr üppig. Deborah ist ins Wanken gekommen – und vor zwei Tagen ist der Streit dann eskaliert. Mann, sind da die Fetzen geflogen! Seither ist Deborah verschwunden.“ Sechs Leute auf dem Gelände gehören definitiv zur City Life Group.
Frage: Finden wir mindestens vier davon?","Understood. Maybe Betty will be more cooperative. We walk over to her wagon, push past the queue, and politely but firmly summon the fortune teller out. 'Police?! What is it? Ah yes, the thing with the investors... Deborah and Walt argued about it regularly. The City Life Group's offer is very generous. Deborah started to waver – and two days ago, the argument escalated. Man, the sparks really flew! Since then, Deborah has disappeared.' Six people on the grounds definitely belong to the City Life Group.
Question: Can we find at least four of them?","Зрозуміло. Можливо, Бетті виявиться більш поступливою. Ми йдемо до її фургончика, проштовхуємося крізь чергу та ввічливо, але рішуче кличемо ворожку вийти. «Поліція?! Що сталося? Ах так, ця справа з інвесторами... Дебора та Уолт постійно сперечалися через це. Пропозиція City Life Group дуже щедра. Дебора почала вагатися — і два дні тому суперечка досягла піку. Боже, який там був скандал! З того часу Дебора зникла». Шість осіб на території точно належать до City Life Group.
Запитання: Чи зможемо ми знайти хоча б чотирьох із них?","Понятно. Возможно, Бетти окажется более сговорчивой. Мы идем к её фургончику, проталкиваемся сквозь очередь и вежливо, но решительно зовем гадалку выйти. «Полиция?! Что стряслось? Ах да, это дело с инвесторами... Дебора и Уолт постоянно спорили из-за этого. Предложение City Life Group очень щедрое. Дебора начала колебаться — и два дня назад спор достиг пика. Боже, какой там был скандал! С тех пор Дебора пропала». Шесть человек на территории точно принадлежат к City Life Group.
Вопрос: Сможем ли мы найти хотя бы четверых из них?"
2-14,answer,,"Bei der Investorengruppe auf dem Dach steht ein Aktenkoffer mit dem Emblem der City Life Group. Dieselben Koffer haben fünf Männer bei sich: zwei bei den drehenden Teetassen, einer zwischen Kettenkarussell und „Joe’s Tacos“, einer zwischen Kettenkarussell und Muscle Car, einer im Autoscooter. Ein sechster Mann zwischen Kinderkarussell und Kettenkarussell trägt das Emblem hinten auf seinem Hemd. Allesamt adrett und vertrauenerweckend gekleidet. Bettys lapidarer Kommentar: „Wölfe im Schafspelz! Denen traue ich alles zu! Aber jetzt entschuldigt mich bitte, ich habe Kundschaft!“","There is a briefcase with the City Life Group emblem next to the investor group on the roof. Five other men have the same briefcases with them: two at the spinning teacups, one between the wave swinger and 'Joe's Tacos', one between the wave swinger and the muscle car, and one in the bumper cars. A sixth man between the children's carousel and the wave swinger wears the emblem on the back of his shirt. All of them are dressed neatly and look trustworthy. Betty's dry comment: 'Wolves in sheep's clothing! I wouldn't put anything past them! Now excuse me, please, I have customers!'","Біля групи інвесторів на даху стоїть портфель з емблемою City Life Group. Такі самі портфелі мають при собі ще п'ять чоловіків: двоє біля обертових чайних чашок, один між ланцюговою каруселлю та «Joe’s Tacos», один між ланцюговою каруселлю та маслкаром, один на автодромі. Шостий чоловік між дитячою та ланцюговою каруселлю носить емблему ззаду на сорочці. Усі вони одягнені охайно і викликають довіру. Короткий коментар Бетті: «Вовки в овечій шкурі! Від них можна чекати чого завгодно! А тепер вибачте, у мене клієнти!»","У группы инвесторов на крыше стоит портфель с эмблемой City Life Group. Такие же портфели имеют при себе еще пять мужчин: двое у вращающихся чайных чашек, один между цепочной каруселью и «Joe’s Tacos», один между цепочной каруселью и масл-каром, один на автодроме. Шестой мужчина между детской и цепочной каруселью носит эмблему сзади на рубашке. Все они одеты опрятно и внушают доверие. Короткий комментарий Бетти: «Волки в овечьей шкуре! От них можно ожидать чего угодно! А теперь извините, у меня клиенты!»"
2-15,question,1,"Hm, würde die Investorengruppe so weit gehen, Sabotage zu verüben, um den Park in Verruf zu bringen und die Szabós zum Verkauf zu zwingen? Tick, der uns in seinem pinken Hasenkostüm nach wie vor auf Schritt und Tritt verfolgt, antwortet ungefragt: „Ich fand’s richtig zum Kotzen!“ Wie auf Kommando und völlig überraschend kotzt uns jemand direkt vor die Füße! Und als wenn das nicht schon eklig genug wäre: Das Zeug sieht aus wie Blut!
Frage: Wie viele Personen erbrechen gerade Blut?","Hmm, would the investor group go so far as to commit sabotage in order to bring the park into disrepute and force the Szabós to sell? Tick, who is still following us at every turn in his pink bunny costume, answers unasked: 'It makes me want to puke!' As if on cue and completely unexpectedly, someone throws up right in front of our feet! And as if that weren't disgusting enough: the stuff looks like blood!
Question: How many people are currently vomiting blood?","Хм, невже група інвесторів пішла б на саботаж, щоб очорнити репутацію парку і змусити родину Сабо продати його? Тік, який у своєму рожевому костюмі зайця все ще переслідує нас по п'ятах, відповідає без запитання: «Мене від цього просто верне!» Наче за командою і абсолютно несподівано когось рве прямо перед нашими ногами! І ніби цього було мало: ця речовина виглядає як кров!
Запитання: Скільки людей зараз рве кров'ю?","Хм, неужели группа инвесторов пошла бы на саботаж, чтобы очернить репутацию парка и заставить семью Сабо продать его? Тик, который в своем розовом костюме зайца все еще преследует нас по пятам, отвечает без спроса: «Меня от этого просто воротит!» Как по команде и совершенно неожиданно кого-то рвет прямо перед нашими ногами! И как будто этого было мало: это вещество выглядит как кровь!
Вопрос: Сколько людей сейчас рвет кровью?"
2-16,answer,,"Insgesamt erbrechen gerade fünf Personen Blut: eine Frau zwischen Autoscooter und Kettenkarussell, eine bei den Zirkuswagen, ein Mann beim Kinderkarussell, einer zwischen Geisterbahn und Hot Dog Wagen und ein weiterer zwischen Kettenkarussell und „Dunk Tank“. Kleiner Exkurs: So ein „Dunk Tank“ ist schon eine merkwürdige Attraktion: Wer mit einem Ballwurf ins Schwarze trifft, schickt die Person auf dem Brett baden. Aber zurück zum Wesentlichen, den Blut spuckenden Leuten: Eindeutig zu viele, um noch von Zufall sprechen zu können ...","In total, five people are currently vomiting blood: a woman between the bumper cars and the wave swinger, one near the circus wagons, a man at the children's carousel, one between the haunted house and the hot dog wagon, and another between the wave swinger and the 'Dunk Tank'. Small digression: such a 'Dunk Tank' is a strange attraction – if you hit the target with a ball, you send the person on the board falling into the water. But back to the main point, the people spitting blood: clearly too many to speak of mere coincidence...","Загалом кров'ю рве п'ятьох людей: жінка між автодромом і ланцюговою каруселлю, жінка біля циркових фургонів, чоловік біля дитячої каруселі, чоловік між кімнатою страху і фургоном із хот-догами, і ще один між ланцюговою каруселлю та атракціоном «Dunk Tank». Невеличкий відступ: цей «Dunk Tank» — досить дивний атракціон: якщо влучити м'ячем у мішень, людина на дошці падає у воду. Але повернімося до головного, до людей, що блюють кров'ю: їх явно забагато, щоб це було звичайним збігом...","Всего кровью рвет пять человек: женщина между автодромом и цепочной каруселью, женщина у цирковых фургонов, мужчина у детской карусели, мужчина между комнатой страха и фургоном с хот-догами, и еще один между цепочной каруселью и аттракционом «Dunk Tank». Небольшое отступление: этот «Dunk Tank» — довольно странный аттракцион: если попасть мячом в мишень, человек на доске падает в воду. Но вернемся к главному, к людям, плюющим кровью: их явно слишком много, чтобы это было простым совпадением..."
2-17,question,3,"Wir wollen gerade den Notarzt rufen, da fällt uns ein Hund auf, der genüsslich an einer der Blutlachen schlabbert. Möglicherweise also doch kein Blut? Wir trauen uns näher heran. Das Zeug riecht süßlich, ist eindeutig rötlich, aber wässriger als Blut. Vorsichtige Entwarnung!
Frage: Was hatten die fünf Personen intus – und wo haben sie es her?","We are just about to call an ambulance when we notice a dog licking up one of the pools of 'blood' with relish. So maybe it isn't blood after all? We dare to go closer. The stuff smells sweet, is clearly reddish, but more watery than blood. Cautious all-clear!
Question: What did the five people ingest – and where did they get it from?","Ми вже збиралися викликати швидку допомогу, коли помітили собаку, яка з апетитом злизує рідину з однієї з червоних калюж. Тож, можливо, це зовсім не кров? Ми підходимо ближче. Речовина пахне солодко, має чіткий червонуватий відтінок, але вона набагато рідша за кров. Обережний відбій тривоги!
Запитання: Що саме потрапило в шлунки цим п'ятьом людям — і звідки вони це взяли?","Мы уже собирались вызывать скорую помощь, когда заметили собаку, которая с аппетитом слизывает жидкость из одной из красных луж. Значит, возможно, это вовсе не кровь? Мы подходим поближе. Вещество пахнет сладко, имеет явный красноватый оттенок, но оно гораздо водянистее крови. Осторожный отбой тревоги!
Вопрос: Что именно попало в желудки этим пятерым людям — и откуда они это взяли?"
2-18,answer,,"Die fünf Personen hatten rotes Slush-Eis der Geschmacksrichtung „Bloody Gary“ im Magen. Die einzige Verkaufsstelle dafür ist der Pizzawagen am Haupteingang. Wir informieren Deborahs älteste Tochter Ella. Sie reagiert schlicht überrascht und versichert uns, dass die Slush-Eis-Automaten alle vier Wochen gründlich gereinigt werden. Haben wir es also mit einem weiteren Sabotageakt zu tun – möglicherweise durch Beimischung eines Brechmittels? Wir verfallen in wohlüberlegten Aktionismus und machen eine Kontrollrunde ...","The five people had red slush ice of the flavor 'Bloody Gary' in their stomachs. The only place selling it is the pizza cart near the main entrance. We inform Deborah's oldest daughter, Ella. She reacts simply with surprise and assures us that the slushy machines are thoroughly cleaned every four weeks. So are we dealing with another act of sabotage – possibly by mixing in an emetic? We engage in well-considered action and do a patrol round...","У шлунках цих п'ятьох людей був червоний слаш-айс із назвою «Bloody Gary». Єдине місце, де його продають — це фургон із піцою біля головного входу. Ми повідомляємо про це старшу дочку Дебори Еллу. Вона просто дивується та запевняє нас, що автомати для слаш-айсу ретельно чистять кожні чотири тижні. Отже, ми маємо справу з новою диверсією — можливо, у напій підмішали рвоту? Ми вирішуємо діяти рішуче та продумано і вирушаємо на патрулювання...","В желудках этих пятерых людей был красный слаш-айс со вкусом «Bloody Gary». Единственное место, где его продают — это фургон с пиццей у главного входа. Мы сообщаем об этом старшей дочери Деборы Элле. Она просто удивляется и уверяет нас, что автоматы для слаш-айса тщательно чистят каждые четыре недели. Значит, мы имеем дело с новой диверсией — возможно, в напиток подмешали рвотное средство? Мы решаем действовать решительно и продуманно и отправляемся на патрулирование..."
2-19,image,,,,,
2-20,image,,,,,
2-21,question,2,"Aha! Vor den Mülltonnen auf Sonderkarte 2.19 finden wir einen großen Kanister Brechmittel. Damit ist klar: Wir haben unseren ersten Sabotageakt des heutigen Abends! Tatort: Slush-Eis-Automat am Pizza-Wagen. Leider finden wir keine weiteren Spuren. Aber uns fällt auf, dass die Toilettensituation auf dem Gelände äußerst angespannt zu sein scheint.
Frage: Welche der sechs Toiletten ist nicht defekt?","Aha! In front of the trash cans on special card 2.19, we find a large canister of emetic. Thus, it is clear: we have our first act of sabotage of the evening! Crime scene: slushy machine at the pizza cart. Unfortunately, we can't find any other traces. But we notice that the toilet situation on the grounds seems extremely tense.
Question: Which of the six toilets is not out of order?","Ага! Перед сміттєвими баками на спеціальній карті 2.19 ми знаходимо велику каністру з-під рвотного засобу. Тепер усе зрозуміло: перед нами перша диверсія сьогоднішнього вечора! Місце злочину: автомат для слаш-айсу біля фургона з піцою. На жаль, більше ніяких слідів немає. Проте ми помічаємо, що ситуація з туалетами в парку здається вкрай напруженою.
Запитання: Яка з шести туалетних кабінок справна?","Ага! Перед мусорными баками на специальной карте 2.19 мы находим большую канистру из-под рвотного средства. Теперь всё ясно: перед нами первая диверсия сегодняшнего вечера! Место преступления: автомат для слаш-айса у фургона с пиццей. К сожалению, больше никаких следов нет. Но мы замечаем, что ситуация с туалетами в парке кажется крайне напряженной.
Вопрос: Какая из шести туалетных кабинок исправна?"
2-22,answer,,"Von den sechs Toiletten auf dem Gelände ist aktuell nur eine einzige nicht defekt: die „Flamingo“-Toilette beim Haupteingang. Flamingo raus, Leute rein. „Was? Wieso zum Teufel sind die denn alle außer Betrieb gesetzt?“, ruft Ella entsetzt. „Als wenn ich nicht schon genug Arbeit hätte.“ Zweiter Sabotageakt! Tatort: Toiletten. Wir haben zwar noch keinen blassen Schimmer, wer dahinterstecken könnte, aber unser Ehrgeiz ist geweckt.","Of the six toilets on the grounds, currently only a single one is not broken: the 'Flamingo' toilet near the main entrance. Flamingo out, people in. 'What? Why the hell are they all out of order?' cries Ella in horror. 'As if I didn't have enough work already.' Second act of sabotage! Crime scene: toilets. We still don't have the faintest clue who could be behind this, but our ambition is sparked.","З шести туалетів на території наразі справна лише одна-єдина кабінка: туалет «Flamingo» біля головного входу. Фламінго геть — людей всередину. «Що? Якого біса вони всі вийшли з ладу?», — обурено вигукує Елла. — «Наче в мене й без того мало роботи». Друга диверсія! Місце злочину: туалети. Ми поки що гадки не маємо, хто за цим стоїть, але наш спортивний азарт уже розігрівся.","Из шести туалетов на территории сейчас исправна только одна-единственная кабинка: туалет «Flamingo» у главного входа. Фламинго прочь — людей внутрь. «Что? Какого чёрта они все вышли из строя?», — возмущенно восклицает Элла. — «Как будто у меня и без того мало работы». Вторая диверсия! Место преступления: туалеты. Мы пока понятия не имеем, кто за этим стоит, но наш спортивный азарт уже разыгрался."
