card,cardType,level,DE,EN,UK,RU
1-40,story,,"Tom sinkt wenig Rockstar-like zusammen und schluchzt: „Verdammt! Was wird bloß aus unserer Expedition ohne unsere Expeditionsleiterin? Die anderen sind der Meinung, dass ich übertreibe und sie sich nur irgendwo ein ruhiges Plätzchen gesucht hat. Aber ich kenne sie – sie würde niemals einfach so losziehen, ohne die Gruppe zu informieren. Ich sag's euch: Etwas Schlimmes ist passiert! Helft mir bitte - wir müssen Kerry-Ann finden, unbedingt!“","Tom collapses in a very un-rockstar-like manner and sobs: 'Damn it! What will become of our expedition without our expedition leader? The others think I'm overreacting and that she just looked for a quiet spot. But I know her – she would never just leave without informing the group. I'm telling you: something bad has happened! Please help me - we must find Kerry-Ann, absolutely!'","Том зовсім не по-рок-зірковському опускає руки й схлипує: «Чорт! Що буде з нашою експедицією без нашої керівниці? Інші думають, що я перебільшую й вона просто знайшла собі якесь затишне місце відпочити. Але я знаю її — вона ніколи б не пішла просто так, не попередивши групу. Кажу вам: сталося щось жахливе! Будь ласка, допоможіть мені — ми маємо знайти Керрі-Енн, обов'язково!»","Том совсем не по-рок-н-ролльному опускает руки и всхлипывает: «Черт! Что будет с нашей экспедицией без нашего руководителя? Другие думают, что я преувеличиваю и она просто нашла себе какое-то тихое местечко отдохнуть. Но я знаю ее — она никогда бы не ушла просто так, не предупредив группу. Говорю вам: случилось что-то ужасное! Пожалуйста, помогите мне — мы должны найти Керри-Энн, обязательно!»"
2-1,early,,"Wir befinden uns mit einer Expeditionsgruppe auf Hangmans Island. Die kleine, verlassene Pazifikinsel offenbart eine Fülle an Lost Places und ein Sammelsurium an Obskuritäten. Kerry-Ann, unsere Expeditionsleiterin, scheint verschwunden zu sein. Tom, unser Rock'n'Roll-Geschichtsprofessor, ist tief besorgt. Er fleht uns an, Kerry-Ann zu finden ...","We are on Hangmans Island with an expedition group. The small, abandoned Pacific island reveals a wealth of Lost Places and a collection of curiosities. Kerry-Ann, our expedition leader, seems to have disappeared. Tom, our rock'n'roll history professor, is deeply worried. He begs us to find Kerry-Ann ...","Ми перебуваємо з експедиційною групою на острові Hangmans Island. Маленький, закинутий тихоокеанський острів приховує безліч закинутих місць та ціле збірище дивних речей. Керрі-Енн, наша керівниця експедиції, схоже, зникла. Том, наш рок-професор історії, глибоко занепокоєний. Він благає нас знайти Керрі-Енн...","Мы находимся с экспедиционной группой на острове Hangmans Island. Маленький, заброшенный тихоокеанский остров таит в себе множество заброшенных мест и целое собрание странных вещей. Керри-Энн, наш руководитель экспедиции, похоже, пропала. Том, наш рок-профессор истории, глубоко обеспокоен. Он умоляет нас найти Керри-Энн..."
2-2,question,2,"Wir starten die Kerry-Ann-Suchmission, indem wir uns den alten, roten Kastenwagen näher anschauen. Kerry-Anns Jacke hängt aus dem Seitenfenster. Der Wagen selbst scheint aber schon lange nicht mehr fahrtüchtig zu sein.
Frage: Welche fünf Teile finden wir auf der Insel verstreut, die eigentlich zum roten Kastenwagen gehören?","We start the search mission for Kerry-Ann by taking a closer look at the old red van. Kerry-Ann's jacket hangs out of the side window. The van itself doesn't seem to have been roadworthy for a long time.
Question: Which five parts do we find scattered across the island that actually belong to the red van?","Ми розпочинаємо місію з пошуку Керрі-Енн і для цього уважніше розглядаємо старий червоний фургон. Куртка Керрі-Енн звисає з бічного вікна. Сам автомобіль, схоже, вже давно не на ходу.
Запитання: Які п'ять деталей, розкиданих по острову, насправді належать червоному фургону?","Мы начинаем миссию по поиску Керри-Энн и для этого более внимательно рассматриваем старый красный фургон. Куртка Керри-Энн свисает из бокового окна. Сам автомобиль, похоже, уже давно не на ходу.
Вопрос: Какие пять деталей, разбросанных по острову, на самом деле принадлежат красному фургону?"
2-3,answer,,"Auf Heck- und Seitentür des Wagens prängt ein Logo mit rotem Pfeil. Die vier fehlenden Autoreifen können wir anhand dieses Logos eindeutig zuordnen: Ein Reifen liegt bei der Lagune, einer beim Toilettenhaus, einer beim Flugzeugwrack und einer beim Buswrack. Zwischen dem Walskelett und dem Krankenwagen liegt zudem die fehlende Hälfte des hinteren Nummernschildes. Die Hintertür des roten Kastenwagens ist unverschlossen. Dann schauen wir doch mal rein ...","A logo with a red arrow is emblazoned on the back and side doors of the van. We can clearly match the four missing car tires using this logo: one tire lies near the lagoon, one near the toilet building, one near the plane wreck, and one near the bus wreck. Between the whale skeleton and the ambulance, there is also the missing half of the rear license plate. The back door of the red van is unlocked. So, let's take a look inside ...","На задніх та бічних дверях фургона красується логотип із червоною стрілкою. Чотири відсутні шини ми можемо чітко визначити за цим логотипом: одне колесо лежить біля лагуни, одне — біля вбиральні, одне — біля уламків літака й одне — біля уламків автобуса. Між скелетом кита та машиною швидкої допомоги також лежить відсутня половинка заднього номерного знака. Задні двері червоного фургона не зачинені. Що ж, зазирнемо всередину...","На задних и боковых дверях фургона красуется логотип с красной стрелкой. Четыре недостающие шины мы можем четко определить по этому логотипу: одно колесо лежит у лагуны, одно — возле уборной, одно — у обломков самолета и одно — у обломков автобуса. Между скелетом кита и машиной скорой помощи также лежит недостающая половинка заднего номерного знака. Задняя дверь красного фургона не заперта. Что ж, заглянем внутрь..."
2-4,image,,[Bild: Rumfässer mit der Aufschrift „E.D.“ und „XXX“],[Image: Rum barrels with the inscription 'E.D.' and 'XXX'],[Зображення: Бочки з-під рому з написом «E.D.» та «XXX»],[Изображение: Бочки из-под рома с надписью «E.D.» и «XXX»]
2-5,question,2,"Im Inneren des Kastenwagens finden wir leider keine weitere Spur von Kerry-Ann, dafür jede Menge Spinnweben, Zettel und ein paar hübsche Gegenstände.
Frage: Welche dieser Gegenstände sehen wir auch draußen auf der Insel?","Inside the van, we unfortunately find no further trace of Kerry-Ann, but plenty of cobwebs, notes, and a few nice objects.
Question: Which of these objects do we also see outside on the island?","Всередині фургона ми, на жаль, не знаходимо більше жодних слідів Керрі-Енн, натомість бачимо купу павутиння, записок і кілька симпатичних предметів.
Запитання: Які з цих предметів ми також бачимо ззовні на острові?","Внутри фургона мы, к сожалению, не находим больше никаких следов Керри-Энн, зато видим кучу паутины, записок и несколько симпатичных предметов.
Вопрос: Какие из этих предметов мы также видим снаружи на острове?"
2-6,answer,,Im Inneren des Kastenwagens befinden sich zwei uralte Rumfässer mit der Aufschrift „XXX“ an den Seiten – solche Fässer sind vereinzelt auch auf der Insel zu sehen.,Inside the van there are two ancient rum barrels with 'XXX' written on the sides – such barrels can also be seen occasionally on the island.,Всередині фургона знаходяться дві стародавні бочки з-під рому з написом «XXX» на боках — такі ж бочки подекуди можна побачити й на самому острові.,Внутри фургона находятся две древние бочки из-под рома с надписью «XXX» на боках — такие же бочки кое-где можно увидеть и на самом острове.
2-7,question,2,"Da meldet sich Geschichtsprofessor Tom zu Wort. Er hält weiterhin Kerry-Anns Schuh in der Hand und druckst herum: „Also ... eigentlich wollte ich es ja lieber für mich behalten. Aber jetzt, wo Kerry-Ann weg ist, denke ich, ihr solltet es wissen: Ich habe sie gestern zusammen mit Charlie, diesem blonden Gift, gesehen. Wild rumknutschend! Wie konnte sie mir das nur antun?! Meine Kerry-Ann ...“
Frage: Wo ist Charlie?","Then history professor Tom speaks up. Still holding Kerry-Ann's shoe in his hand, he beats around the bush: 'Well ... actually, I preferred to keep it to myself. But now that Kerry-Ann is gone, I think you should know: I saw her yesterday together with Charlie, that blonde poison. Making out wildly! How could she do this to me?! My Kerry-Ann ...'
Question: Where is Charlie?","Тут бере слово професор історії Том. Він досі тримає в руці черевик Керрі-Енн і ніяково мимрить: «Ну... взагалі-то я волів би тримати це при собі. Але тепер, коли Керрі-Енн зникла, гадаю, вам варто знати: учора я бачив її разом із Чарлі, цією білявою бестією. Вони палко цілувалися! Як вона могла так вчинити зі мною?! Моя Керрі-Енн...»
Запитання: Де Чарлі?","Тут берет слово профессор истории Том. Он до сих пор держит в руке туфлю Керри-Энн и неловко мямлит: «Ну... вообще-то я предпочел бы держать это при себе. Но теперь, когда Керри-Энн пропала, думаю, вам стоит знать: вчера я видел ее вместе с Чарли, этой белокурой бестией. Они страстно целовались! Как она могла так поступить со мной?! Моя Керри-Энн...»
Вопрос: Где Чарли?"
2-8,answer,,"Charlie sitzt am Lagerfeuer. Der auffällig blaue Kussmund am Hals der blonden Frau gleicht dem Lippenstift, den Kerry-Ann auf dem zerrissenen Gruppenfoto trägt, das Tom uns gegeben hat. Charlie gegenüber sitzt übrigens Murat. Murat ist wortkarg und vorzugsweise leicht bekleidet. Ein ehemaliger Investmentbanker, der seine Schäfchen schon mit Mitte 20 ins Trockene gebracht hat und sich seither als Privatier ausgiebig langweilt.","Charlie is sitting by the campfire. The conspicuously blue kiss mark on the blonde woman's neck matches the lipstick Kerry-Ann is wearing in the torn group photo Tom gave us. Opposite Charlie sits Murat, by the way. Murat is taciturn and prefers to be lightly dressed. A former investment banker who made his fortune by his mid-20s and has been thoroughly bored as a privateer ever since.","Чарлі сидить біля багаття. Помітний синій слід від поцілунку на шиї білявої жінки збігається з помадою, яка була на Керрі-Енн на розірваному груповому фото, що дав нам Том. Навпроти Чарлі, до речі, сидить Мурат. Мурат небалакучий і зазвичай напівроздягнений. Це колишній інвестиційний банкір, який забезпечив собі безбідне життя вже в середині своїх 20 років і відтоді нудьгує в ролі рантьє.","Чарли сидит у костра. Заметный синий след от поцелуя на шее белокурой женщины совпадает с помадой, которая была на Керри-Энн на разорванном групповом фото, что дал нам Том. Напротив Чарли, кстати, сидит Мурат. Мурат немногословен и обычно полураздет. Это бывший инвестиционный банкир, который обеспечил себе безбедную жизнь уже в середине своих 20 лет и с тех пор вовсю скучает в роли рантье."
2-9,question,3,"Charlie wiederum ist Schamanin und Influencerin. Ihre Rolle in unserer Expeditionsgruppe wird von einigen Personen spöttisch gesehen. Als wir sie auf Toms Beobachtung ansprechen, reagiert sie gereizt: „Wie bitte ... wer hat uns gesehen? Professor Tom?! Der feine Herr, der soll mal schön ruhig sein – tut jetzt so, als wäre Kerry-Ann seine große Liebe. Dabei ist er doch ""glücklich"" verheiratet. Seine Frau ist sogar Teil unserer Gruppe! Und wo Kerry-Ann steckt? Tja, da hab ich leider auch keine Ahnung ...“
Frage: Wer ist Toms Frau – und wo ist sie?","Charlie, on the other hand, is a shaman and influencer. Her role in our expedition group is viewed mockingly by some. When we address her about Tom's observation, she reacts irritatedly: 'Excuse me ... who saw us? Professor Tom?! That fine gentleman should just keep quiet – acting now as if Kerry-Ann was his great love. Yet he is ""happily"" married. His wife is even part of our group! And where Kerry-Ann is? Well, unfortunately I have no idea about that either ...'
Question: Who is Tom's wife – and where is she?","Чарлі, у свою чергу, є шаманкою та інфлюенсеркою. Деякі члени нашої експедиційної групи ставляться до її ролі з іронією. Коли ми запитуємо її про спостереження Тома, вона реагує роздратовано: «Що-що... хто нас бачив? Професор Том?! Ой, нехай би цей благородний добродій краще мовчав — зараз удає, ніби Керрі-Енн була його великим коханням. Хоча сам при цьому ""щасливо"" одружений. Його дружина взагалі є членом нашої групи! А де ховається Керрі-Енн? Ну, тут я, на жаль, теж поняття не маю...»
Запитання: Хто дружина Тома та де вона перебуває?","Чарли, в свою очередь, является шаманкой и инфлюенсером. Некоторые члены нашей экспедиционной группы относятся к ее роли с иронией. Когда мы спрашиваем ее о наблюдениях Тома, она реагирует раздраженно: «Что-что... кто нас видел? Профессор Том?! Ой, помалкивал бы этот благородный господин — сейчас строит из себя, будто Керри-Энн была его великой любовью. Хотя сам при этом ""счастливо"" женат. Его жена вообще является членом нашей группы! А где прячется Керри-Энн? Ну, тут я, к сожалению, тоже понятия не имею...»
Вопрос: Кто жена Тома и где она находится?"
2-10,answer,,"Toms Frau ist die Reisebloggerin Thea. Sie sitzt immer noch apathisch mit dem Laptop auf dem Schoß unter einer Palme beim Flugzeugwrack. Ihren Namen und den Laptop finden wir auf der Gepäckliste. Der Hinweis auf die Verbundenheit von Tom und Thea sind ihre Herz-Tattoos, in denen jeweils ein großes T steht. Jetzt erahnen wir auch den Grund für Theas Niedergeschlagenheit: Möglicherweise hat sie von der Affäre ihres Mannes mit Expeditionsleiterin Kerry-Ann Wind bekommen.","Tom's wife is the travel blogger Thea. She is still sitting apathetically with her laptop on her lap under a palm tree near the plane wreck. We find her name and the laptop on the luggage list. The indication of the bond between Tom and Thea are their heart tattoos, each containing a large T. Now we also guess the reason for Thea's dejection: she may have caught wind of her husband's affair with expedition leader Kerry-Ann.","Дружина Тома — це тревел-блогерка Теа. Вона досі апатично сидить із ноутбуком на колінах під пальмою біля уламків літака. Її ім'я та ноутбук ми знаходимо в списку багажу. Вказівкою на зв'язок Тома та Теа є їхні татуювання у вигляді серця, в кожному з яких зображена велика літера Т. Тепер ми здогадуємося про причину пригніченості Теа: можливо, вона дізналася про роман свого чоловіка з керівницею експедиції Керрі-Енн.","Жена Тома — это тревел-блогер Теа. Она до сих пор апатично сидит с ноутбуком на коленях под пальмой возле обломков самолета. Ее имя и ноутбук мы находим в списке багажа. Указанием на связь Тома и Теа являются их татуировки в виде сердца, в каждом из которых изображена большая буква Т. Теперь мы догадываемся о причине подавленности Теа: возможно, она узнала о романе своего мужа с руководителем экспедиции Керри-Энн."
2-11,question,2,"Charlie lässt die Geschichte um Tom und Thea völlig kalt. Sie blafft uns an: „Wenn ihr euch nützlich machen wollt, dann schafft mir Igor her. Er wollte mir beim Kochen helfen – ist schließlich sein Job. Von wegen nur schnell zur Kirche und Nachschub holen ... seit zehn Minuten ist der nun schon weg und das Feuer geht gleich aus.“
Frage: Wo ist Igor, der Koch?","Charlie is completely indifferent to the story about Tom and Thea. She barks at us: 'If you want to make yourselves useful, get Igor over here. He was supposed to help me cook – after all, it's his job. Talk about just quickly going to the church to get supplies ... he's been gone for ten minutes now and the fire is about to go out.'
Question: Where is Igor, the cook?","Чарлі абсолютно байдужа до історії Тома та Теа. Вона гаркає на нас: «Якщо хочете бути корисними, то притягніть мені Ігоря. Він збирався допомогти мені з готуванням — зрештою, це його робота. Розказував, що тільки швиденько збігає до церкви за припасами... його немає вже десять хвилин, і вогонь ось-ось згасне!»
Запитання: Де Ігор, кухар?","Чарли абсолютно безразлична к истории Тома и Теа. Она гаркает на нас: «Если хотите быть полезными, то притащите мне Игоря. Он собирался помочь мне с готовкой — в конце концов, это его работа. Рассказывал, что только быстренько сбегает к церкви за припасами... его нет уже десять минут, и огонь вот-вот погаснет!»
Вопрос: Где Игорь, повар?"
2-12,answer,,"Igor, der Koch, liegt südlich des Buswracks, etwas abseits eines Weges, blutend auf dem Boden. Um ihn herum liegt Brennholz, das er vorher bei der Kirche geholt hat. Ein Holzscheit hält er immer noch in der Hand. Irgendwo in der Ferne hören wir ein tiefes, gedämpftes Geheul.","Igor, the cook, is lying south of the bus wreck, slightly off a path, bleeding on the ground. Around him lies firewood that he previously fetched from the church. He is still holding a log in his hand. Somewhere in the distance we hear a deep, muffled howl.","Ігор, кухар, лежить на південь від уламків автобуса, трохи осторонь стежки, стікаючи кров'ю на землі. Навколо нього лежать дрова, які він перед цим узяв біля церкви. Один дерев'яний брусок він усе ще тримає в руці. Десь удалині ми чуємо глибоке, глухе виття.","Игорь, повар, лежит к югу от обломков автобуса, чуть в стороне от тропы, истекая кровью на земле. Вокруг него лежат дрова, которые он перед этим взял у церкви. Один деревянный брусок он всё еще держит в руке. Где-то вдали мы слышим глубокий, глухой вой."
2-13,question,2,"Igor rappelt sich auf und wischt sich Blut vom Hinterkopf. Verwirrt schaut er uns an. „Autsch, mein Kopf! Wo bin ich?“
Frage: Was ist Igor passiert – und wie kam es dazu?","Igor scrambles up and wipes blood from the back of his head. He looks at us confused. 'Ouch, my head! Where am I?'
Question: What happened to Igor – and how did it happen?","Ігор важко підводиться й витирає кров із потилиці. Він спантеличено дивиться на нас: «Ай, моя голова! Де я?»
Запитання: Що сталося з Ігорем та як саме це відбулося?","Игорь с трудом поднимается и вытирает кровь с затылка. Он озадаченно смотрит на нас: «Ай, моя голова! Где я?»
Вопрос: Что случилось с Игорем и как именно это произошло?"
2-14,answer,,Igor ist eine Kokosnuss auf den Kopf gefallen. Der Auslöser dafür war eine Drohne. Die Drohne ist in die Palme gekracht und samt Kokosnuss zu Boden gegangen.,A coconut fell on Igor's head. The trigger for this was a drone. The drone crashed into the palm tree and went to the ground along with the coconut.,"Ігорю на голову впав кокос. Причиною цього став дрон. Безпілотник врізався в пальму, і кокос разом із ним полетів донизу.","Игорю на голову упал кокос. Виной тому стал дрон. Беспилотник врезался в пальму, и кокос вместе с ним полетел вниз."
2-15,question,1,"Igor wirft einen Blick auf die kaputte Drohne. Seine Miene verfinstert sich: „War ja klar, Barbara, unsere Filmfrau. Völlig durchgeknallt! Die soll endlich die Finger von der Fernsteuerung lassen. Ihre Drohnenfliegerei ist gemeingefährlich! Und ihre Filmaufnahmen sowieso.“
Frage: Wo ist Barbara?","Igor takes a look at the broken drone. His face darkens: 'Classic Barbara, our camerawoman. Completely crazy! She should finally keep her hands off the remote control. Her drone flying is a public hazard! And her filming anyway.'
Question: Where is Barbara?","Ігор кидає погляд на поламаний дрон. Його обличчя темніє: «Ну звісно, Барбара, наша кіношниця. Геть з'їхала з глузду! Нехай вона вже нарешті прибере свої руки від пульта керування. Її польоти на дронах небезпечні для суспільства! Та й фільмування її теж».
Запитання: Де знаходиться Барбара?","Игорь бросает взгляд на сломанный дрон. Его лицо темнеет: «Ну конечно, Барбара, наша киношница. Совсем свихнулась! Пусть она уже наконец уберет свои руки от пульта управления. Ее полеты на дронах социально опасны! Да и съемки ее тоже».
Вопрос: Где находится Барбара?"
2-16,answer,,"Filmfrau Barbara sitzt neben den großen Felsen der Lagune. Sie hat eine farblich zur Drohne passende, graue Fernsteuerung in der Hand. Als wir sie mit dem Kokosnuss-Vorfall konfrontieren, schlägt sie die Hände über dem Kopf zusammen: „Oh Mann, sorry ... Igors Essen schmeckt zwar auch gemeingefährlich, aber das mit der Kokosnuss tut mir leid, das war natüllich keine Absicht! Eigentlich wollte ich mit der Drohne über die Festung fliegen. Hier, diese vier Drohnenaufnahmen schenke ich euch, vielleicht helfen sie euch bei der Suche nach Kerry-Ann weiter ...“","Camerawoman Barbara is sitting next to the large rocks of the lagoon. She has a gray remote control in her hand, matching the color of the drone. When we confront her with the coconut incident, she puts her hands over her head: 'Oh man, sorry ... Igor's food tastes like a public hazard too, but I'm really sorry about the coconut, that was of course not intentional! Actually, I wanted to fly the drone over the fortress. Here, I'll give you these four drone shots, maybe they will help you in your search for Kerry-Ann ...'","Режисерка Барбара сидить біля великих скель лагуни. У руках вона тримає сірий пульт керування, що підходить за кольором до дрона. Коли ми розпитуємо її про інцидент із кокосом, вона хапається за голову: «О боже, вибачте... Їжа Ігоря, звісно, теж небезпечна для життя, але за кокос мені дуже шкода, це було абсолютно випадково! Взагалі-то я хотіла полетіти на дроні над фортецею. Ось, дарую вам ці чотири знімки з дрона, можливо, вони допоможуть вам у пошуках Керрі-Енн...»","Режиссер Барбара сидит у больших скал лагуны. В руках она держит серый пульт управления, подходящий по цвету к дрону. Когда мы расспрашиваем ее об инциденте с кокосом, она хватается за голову: «О господи, простите... Еда Игоря, конечно, тоже опасна для жизни, но за кокос мне очень жаль, это было совершенно случайно! Вообще-то я хотела полетать на дроне над крепостью. Вот, дарю вам эти хотя бы четыре снимка с дрона, возможно, они помогут вам в поисках Керри-Энн...»"
2-17,image,,image,,,
2-18,image,,image,,,
2-19,image,,image,,,
2-20,image,,image,,,
2-21,question,1,"Während wir die Drohnenaufnahmen studieren, rümpft Barbara die Nase. „Puh, riecht ihr das auch? Wieder dieser fiese Gestank nach faulen Eiern, der hängt wie eine Glocke über der Insel.""
Frage: Was ist für den Gestank auf der Insel verantwortlich?","While we study the drone footage, Barbara wrinkles her nose. ""Ugh, do you smell that too? That nasty stench of rotten eggs again, it hangs over the island like a thick cloud.""

Question: What is responsible for the stench on the island?","Поки ми вивчаємо зйомки з дрона, Барбара морщить ніс. «Фу, ви теж це відчуваєте? Знову цей огидний сморід тухлих яєць, він висить над островом, як купол».

Питання: Що є причиною смороду на острові?","Пока мы изучаем съемки с дрона, Барбара морщит нос. «Фу, вы тоже это чувствуете? Опять эта отвратительная вонь тухлых яиц, она висит над островом, как купол».

Вопрос: Что является причиной вони на острове?"
2-22,answer,"
","Barbaras Drohnenaufnahmen offenbaren das, was wir ohnehin schon wussten:
Bei dem ,,Berg"" im Westen der Insel handelt es sich um einen aktiven Vulkan. Die Schwefeldämpfe erinnern an den Geruch
von faulen Eiern. Wieder vernehmen wir in der Ferne ein tiefes, gedämpftes Geheul. Möglicherweise stammt es vom Vulkan...
","Barbara's drone footage reveals what we already knew: the ""mountain"" in the west of the island is an active volcano. The sulfur vapors resemble the smell of rotten eggs. Once again, we hear a deep, muffled howling in the distance. Possibly it comes from the volcano...
","Зйомки з дрона Барбари підтверджують те, що ми й так знали: «гора» на заході острова — це діючий вулкан. Пари сірки нагадують запах тухлих яєць. Здалеку знову лунає глибоке, приглушене завивання. Можливо, це від вулкана...
","Съемки с дрона Барбары подтверждают то, что мы и так знали: «гора» на западе острова — это действующий вулкан. Пары серы напоминают запах тухлых яиц. Вдалеке снова раздается глубокий, приглушенный вой. Возможно, он исходит от вулкана...
"
2-23,question,2,"Anstatt zum verletzten Igor rüberzugehen, sucht Barbara nach Ausflüchten: „Bei dem Gestank hier ist es auch kein Wunder, dass ich mich nicht richtig aufs Drohnenfliegen konzentrieren kann! Meine anderen beiden Exemplare hab ich auch schon geschrottet. Könnt ihr sie für mich ausfindig machen? Dann kann ich wenigstens die Speicherkarten auslesen. Vielleicht helfen euch die darauf befindlichen Bilddaten dann ja auch bei eurer Suche nach Kerry-Ann weiter.""
Frage: Wo sind die beiden anderen kaputten Drohnen?
","Instead of going over to the injured Igor, Barbara looks for excuses: ""With this stench here, it's no wonder I can't concentrate properly on flying the drone! I've already trashed my other two units. Can you track them down for me? Then at least I can read the memory cards. Maybe the image data on them will help you in your search for Kerry-Ann.""

Question: Where are the other two broken drones?","Замість того, щоб підійти до пораненого Ігоря, Барбара шукає відмовки: «З таким смородом не дивно, що я не можу нормально зосередитися на управлінні дроном! Два інших моїх екземпляри я вже теж розбила. Можете їх для мене знайти? Тоді я хоча б зможу зчитати карти пам'яті. Можливо, фотографії з них допоможуть вам у пошуках Керрі-Енн».

Питання: Де знаходяться два інших зламаних дрона?","Вместо того чтобы подойти к раненому Игорю, Барбара ищет отговорки: «С такой вонью неудивительно, что я не могу нормально сосредоточиться на управлении дроном! Два других моих экземпляра я уже тоже разбила. Можете их для меня найти? Тогда я хотя бы смогу считать карты памяти. Возможно, фотографии с них помогут вам в поисках Керри-Энн».

Вопрос: Где находятся два других сломанных дрона?"
2-24,answer,"
","Eine Drohne liegt auf einem Felsen zwischen Toilettenhaus und Sternwarte, die andere auf einem Felsen oberhalb des Kapitänshauses.
","One drone is lying on a rock between the toilet block and the observatory, the other on a rock above the captain's house.
","Один дрон лежить на скелі між туалетом та обсерваторією, інший — на скелі над будинком капітана.
","Один дрон лежит на скале между туалетом и обсерваторией, другой — на скале над домом капитана.
"
2-25,question,2,"Bis zur Drohne hinter dem Toilettenhaus ist es nur ein Katzensprung. Wir untersuchen das kaputte Gerät und stellen fest, dass die Speicherkarte fehlt! Hat sie bereits jemand entwendet? Oder hat Barbara einfach nur vergessen, eine Speicherkarte einzulegen? Hoffentlich gibt uns die andere Drohne Aufschluss. Wir laufen los, erreichen den Galgenkäfig und wollen weiter zur Festung.
Frage: Welchen Wegweiser-Symbolen müssen wir der Reihe nach folgen, um auf kürzestem Weg vom Galgenkäfig zur Drohne oberhalb des Kapitänshauses zu kommen?","It's only a stone's throw to the drone behind the toilet building. We examine the broken device and find that the memory card is missing! Has someone already stolen it? Or did Barbara simply forget to insert a memory card? Hopefully the other drone will shed some light. We run off, reach the gallows cage, and want to continue to the fortress.
Question: Which signpost symbols must we follow in order, to get from the gallows cage to the drone above the Captain's House by the shortest route?","До дрона за вбиральнею — рукою подати. Ми оглядаємо пошкоджений пристрій і виявляємо, що карти пам'яті немає! Хтось уже встиг її витягти? Чи Барбара просто забула її вставити? Сподіваємося, що інший дрон прояснить ситуацію. Ми вирушаємо в дорогу, дістаємося шибениці-клітки й хочемо йти далі до фортеці.
Запитання: Яким символам-вказівникам ми маємо слідувати по черзі, щоб найкоротшим шляхом дістатися від шибениці-клітки до дрона над капітанським будинком?","До дрона за уборной — рукой подать. Мы осматриваем поврежденное устройство и обнаруживаем, что карты памяти нет! Кто-то уже успел ее вытащить? Или Барбара просто забыла ее вставить? Надеемся, что другой дрон прояснит ситуацию. Мы отправляемся в путь, добираемся до виселицы-клетки и хотим идти дальше к крепости.
Вопрос: Каким символам-указателям мы должны следовать по очереди, чтобы кратчайшим путем добраться от виселицы-клетки до дрона над капитанским домом?"
2-26,answer,,"Vom Galgenkäfig aus folgen wir dem Blumen-Weg bis zum Buswrack – und von dort aus dem Blitz-Weg bis hoch zur anderen Drohne. Und als hätten wir es geahnt: Auch hier fehlt die Speicherkarte. Frustriert und wenig hoffnungsvoll suchen wir die Umgebung nach ihr ab. Da entdecken wir im Gebüsch eine kleine, verrostete Truhe. Und im Inneren der Truhe? Eine alte Seefahrerkarte ...","From the gallows cage, we follow the flower path (Blumen-Weg) to the bus wreck – and from there, the lightning path (Blitz-Weg) up to the other drone. And as if we had sensed it: the memory card is missing here too. Frustrated and with little hope, we search the surrounding area for it. Then we discover a small, rusty chest in the bushes. And inside the chest? An old navigator's map ...",Від шибениці-клітки ми йдемо по «шляху квітів» («Blumen-Weg») до уламків автобуса — а звідти по «шляху блискавки» («Blitz-Weg») вгору до іншого дрона. І як ми й відчували: тут також немає карти пам'яті. Розчаровані та без особливої надії ми обшукуємо все навколо. Раптом у кущах помічаємо маленьку заіржавілу скриню. А всередині скрині? Стара мореплавська карта...,От виселицы-клетки мы идем по «пути цветов» («Blumen-Weg») к обломкам автобуса — а оттуда по «пути молнии» («Blitz-Weg») вверх ко второму дрону. И как мы и чувствовали: здесь тоже нет карты памяти. Разочарованные и без особой надежды мы обыскиваем всё вокруг. Вдруг в кустах замечаем маленький заржавевший сундук. А внутри сундука? Старая мореходная карта...
2-27,image,,"[Bild: Seefahrerkarte mit den Inseln Lukisland, Julisland, Jonisland, Davisland]","[Image: Navigator's map showing Lukisland, Julisland, Jonisland, and Davisland]","[Зображення: Мореплавська карта з островами Lukisland, Julisland, Jonisland, Davisland]","[Изображение: Мореходная карта с островами Lukisland, Julisland, Jonisland, Davisland]"
2-28,question,2,"Auf der alten Seefahrerkarte sind die Umrisse und Namen verschiedener Inseln zu sehen. Einer der Umrisse scheint identisch mit „unserer„ Insel zu sein.
Frage: Wie ist der Name der Insel, auf der wir uns laut Seefahrerkarte befinden?","Outlines and names of various islands are visible on the old navigator's map. One of the outlines seems identical to 'our' island.
Question: What is the name of the island where we are located according to the navigator's map?","На старій мореплавській карті видно контури та назви різних островів. Один із контурів здається абсолютно ідентичним нашому острову.
Запитання: Як називається острів, на якому ми зараз перебуваємо згідно з мореплавською картою?","На старой мореходной карте видны контуры и названия различных островов. Один из контуров кажется абсолютно идентичным нашему острову.
Вопрос: Как называется остров, на котором мы сейчас находимся согласно мореходной карте?"
